Wavelength (nm)	Dark	Wavelength (nm)	Reference	Wavelength (nm)	Sample 1 - 08.11.2019-11:35:13	Wavelength (nm)	Sample 2 - 08.11.2019-11:40:21	Wavelength (nm)	Sample 3 - 08.11.2019-11:45:29
-989.600	9880.000	-989.600	0.000	-989.600	-Inf	-989.600	NaN	-989.600	NaN
-987.600	9860.000	-987.600	0.000	-987.600	NaN	-987.600	NaN	-987.600	NaN
-985.600	9826.000	-985.600	0.000	-985.600	-Inf	-985.600	NaN	-985.600	NaN
-983.600	9844.000	-983.600	0.000	-983.600	-Inf	-983.600	NaN	-983.600	NaN
-981.600	9934.000	-981.600	0.000	-981.600	NaN	-981.600	NaN	-981.600	-Inf
-979.600	9900.000	-979.600	0.000	-979.600	-Inf	-979.600	NaN	-979.600	NaN
-977.500	9882.000	-977.500	0.000	-977.500	-Inf	-977.500	NaN	-977.500	NaN
-975.500	9876.000	-975.500	0.000	-975.500	-Inf	-975.500	NaN	-975.500	-Inf
-973.500	9896.000	-973.500	0.000	-973.500	-Inf	-973.500	-Inf	-973.500	NaN
-971.500	9928.000	-971.500	0.000	-971.500	-Inf	-971.500	-Inf	-971.500	NaN
-969.500	9794.000	-969.500	6.000	-969.500	NaN	-969.500	NaN	-969.500	NaN
-967.500	9997.000	-967.500	0.000	-967.500	-Inf	-967.500	NaN	-967.500	NaN
-965.500	9866.000	-965.500	0.000	-965.500	NaN	-965.500	NaN	-965.500	NaN
-963.500	9875.000	-963.500	0.000	-963.500	NaN	-963.500	NaN	-963.500	-Inf
-961.500	9870.000	-961.500	0.000	-961.500	-Inf	-961.500	NaN	-961.500	NaN
-959.500	9943.000	-959.500	0.000	-959.500	-Inf	-959.500	NaN	-959.500	NaN
-957.500	9784.000	-957.500	0.000	-957.500	NaN	-957.500	NaN	-957.500	NaN
-955.500	9921.000	-955.500	0.000	-955.500	-Inf	-955.500	-Inf	-955.500	NaN
-953.400	9858.000	-953.400	0.000	-953.400	-Inf	-953.400	NaN	-953.400	NaN
-951.400	9895.000	-951.400	0.000	-951.400	-Inf	-951.400	-Inf	-951.400	NaN
-949.400	9807.000	-949.400	0.000	-949.400	-Inf	-949.400	-Inf	-949.400	NaN
-947.400	9831.000	-947.400	0.000	-947.400	-Inf	-947.400	NaN	-947.400	NaN
-945.400	9841.000	-945.400	0.000	-945.400	NaN	-945.400	NaN	-945.400	NaN
-943.400	9900.000	-943.400	0.000	-943.400	-Inf	-943.400	-Inf	-943.400	NaN
-941.400	9880.000	-941.400	0.000	-941.400	-Inf	-941.400	-Inf	-941.400	NaN
-939.400	9904.000	-939.400	0.000	-939.400	-Inf	-939.400	NaN	-939.400	NaN
-937.400	9866.000	-937.400	0.000	-937.400	-Inf	-937.400	NaN	-937.400	NaN
-935.400	9888.000	-935.400	0.000	-935.400	-Inf	-935.400	NaN	-935.400	NaN
-933.400	9898.000	-933.400	0.000	-933.400	-Inf	-933.400	NaN	-933.400	NaN
-931.400	9880.000	-931.400	0.000	-931.400	NaN	-931.400	-Inf	-931.400	NaN
-929.400	9914.000	-929.400	0.000	-929.400	-Inf	-929.400	NaN	-929.400	NaN
-927.400	9873.000	-927.400	0.000	-927.400	NaN	-927.400	NaN	-927.400	NaN
-925.300	9900.000	-925.300	0.000	-925.300	NaN	-925.300	NaN	-925.300	NaN
-923.300	9911.000	-923.300	0.000	-923.300	-Inf	-923.300	NaN	-923.300	NaN
-921.300	9915.000	-921.300	0.000	-921.300	-Inf	-921.300	-Inf	-921.300	-Inf
-919.300	9871.000	-919.300	0.000	-919.300	-Inf	-919.300	NaN	-919.300	NaN
-917.300	9978.000	-917.300	0.000	-917.300	-Inf	-917.300	NaN	-917.300	NaN
-915.300	9811.000	-915.300	0.000	-915.300	NaN	-915.300	NaN	-915.300	NaN
